Federal Individual Income Tax Rates History,,,,,,,,,,,,,
Nominal Dollars,,,,,,,,,,,,,
 Income Years 1913-2021,,,,,,,,,,,,,
,Married Filing Jointly,,,Married Filing Separately,,,Single Filer,,,Head of Household,,,Notes:
,45.0%,>,"$78,000",45.0%,>,"$78,000",45.0%,>,"$78,000",45.0%,>,"$78,000",
,46.0%,>,"$80,000",46.0%,>,"$80,000",46.0%,>,"$80,000",46.0%,>,"$80,000",
,47.0%,>,"$82,000",47.0%,>,"$82,000",47.0%,>,"$82,000",47.0%,>,"$82,000",
,48.0%,>,"$84,000",48.0%,>,"$84,000",48.0%,>,"$84,000",48.0%,>,"$84,000",
,49.0%,>,"$86,000",49.0%,>,"$86,000",49.0%,>,"$86,000",49.0%,>,"$86,000",
,50.0%,>,"$88,000",50.0%,>,"$88,000",50.0%,>,"$88,000",50.0%,>,"$88,000",
,51.0%,>,"$90,000",51.0%,>,"$90,000",51.0%,>,"$90,000",51.0%,>,"$90,000",
,52.0%,>,"$92,000",52.0%,>,"$92,000",52.0%,>,"$92,000",52.0%,>,"$92,000",
,53.0%,>,"$94,000",53.0%,>,"$94,000",53.0%,>,"$94,000",53.0%,>,"$94,000",
,54.0%,>,"$96,000",54.0%,>,"$96,000",54.0%,>,"$96,000",54.0%,>,"$96,000",
,55.0%,>,"$98,000",55.0%,>,"$98,000",55.0%,>,"$98,000",55.0%,>,"$98,000",
,56.0%,>,"$100,000",56.0%,>,"$100,000",56.0%,>,"$100,000",56.0%,>,"$100,000",
,57.0%,>,"$150,000",57.0%,>,"$150,000",57.0%,>,"$150,000",57.0%,>,"$150,000",
,58.0%,>,"$200,000",58.0%,>,"$200,000",58.0%,>,"$200,000",58.0%,>,"$200,000",
,,,,,,,,,,,,,
1921,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,Tax rates include normal taxes plus applicable surtaxes. Last law to change rates was the Revenue Act of 1921.
,8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",
,9.0%,>,"$5,000",9.0%,>,"$5,000",9.0%,>,"$5,000",9.0%,>,"$5,000",
,10.0%,>,"$6,000",10.0%,>,"$6,000",10.0%,>,"$6,000",10.0%,>,"$6,000",
,11.0%,>,"$8,000",11.0%,>,"$8,000",11.0%,>,"$8,000",11.0%,>,"$8,000",
,12.0%,>,"$10,000",12.0%,>,"$10,000",12.0%,>,"$10,000",12.0%,>,"$10,000",
,13.0%,>,"$12,000",13.0%,>,"$12,000",13.0%,>,"$12,000",13.0%,>,"$12,000",
,14.0%,>,"$14,000",14.0%,>,"$14,000",14.0%,>,"$14,000",14.0%,>,"$14,000",
,15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",
,16.0%,>,"$18,000",16.0%,>,"$18,000",16.0%,>,"$18,000",16.0%,>,"$18,000",
,17.0%,>,"$20,000",17.0%,>,"$20,000",17.0%,>,"$20,000",17.0%,>,"$20,000",
,18.0%,>,"$22,000",18.0%,>,"$22,000",18.0%,>,"$22,000",18.0%,>,"$22,000",
,19.0%,>,"$24,000",19.0%,>,"$24,000",19.0%,>,"$24,000",19.0%,>,"$24,000",
,20.0%,>,"$26,000",20.0%,>,"$26,000",20.0%,>,"$26,000",20.0%,>,"$26,000",
,21.0%,>,"$28,000",21.0%,>,"$28,000",21.0%,>,"$28,000",21.0%,>,"$28,000",
,22.0%,>,"$30,000",22.0%,>,"$30,000",22.0%,>,"$30,000",22.0%,>,"$30,000",
,23.0%,>,"$32,000",23.0%,>,"$32,000",23.0%,>,"$32,000",23.0%,>,"$32,000",
,24.0%,>,"$34,000",24.0%,>,"$34,000",24.0%,>,"$34,000",24.0%,>,"$34,000",
,25.0%,>,"$36,000",25.0%,>,"$36,000",25.0%,>,"$36,000",25.0%,>,"$36,000",
,26.0%,>,"$38,000",26.0%,>,"$38,000",26.0%,>,"$38,000",26.0%,>,"$38,000",
,27.0%,>,"$40,000",27.0%,>,"$40,000",27.0%,>,"$40,000",27.0%,>,"$40,000",
,28.0%,>,"$42,000",28.0%,>,"$42,000",28.0%,>,"$42,000",28.0%,>,"$42,000",
,29.0%,>,"$44,000",29.0%,>,"$44,000",29.0%,>,"$44,000",29.0%,>,"$44,000",
,30.0%,>,"$46,000",30.0%,>,"$46,000",30.0%,>,"$46,000",30.0%,>,"$46,000",
,31.0%,>,"$48,000",31.0%,>,"$48,000",31.0%,>,"$48,000",31.0%,>,"$48,000",
,32.0%,>,"$50,000",32.0%,>,"$50,000",32.0%,>,"$50,000",32.0%,>,"$50,000",
,33.0%,>,"$52,000",33.0%,>,"$52,000",33.0%,>,"$52,000",33.0%,>,"$52,000",
,34.0%,>,"$54,000",34.0%,>,"$54,000",34.0%,>,"$54,000",34.0%,>,"$54,000",
,35.0%,>,"$56,000",35.0%,>,"$56,000",35.0%,>,"$56,000",35.0%,>,"$56,000",
,36.0%,>,"$58,000",36.0%,>,"$58,000",36.0%,>,"$58,000",36.0%,>,"$58,000",
,37.0%,>,"$60,000",37.0%,>,"$60,000",37.0%,>,"$60,000",37.0%,>,"$60,000",
,38.0%,>,"$62,000",38.0%,>,"$62,000",38.0%,>,"$62,000",38.0%,>,"$62,000",
,39.0%,>,"$64,000",39.0%,>,"$64,000",39.0%,>,"$64,000",39.0%,>,"$64,000",
,40.0%,>,"$66,000",40.0%,>,"$66,000",40.0%,>,"$66,000",40.0%,>,"$66,000",
,41.0%,>,"$68,000",41.0%,>,"$68,000",41.0%,>,"$68,000",41.0%,>,"$68,000",
,42.0%,>,"$70,000",42.0%,>,"$70,000",42.0%,>,"$70,000",42.0%,>,"$70,000",
,43.0%,>,"$72,000",43.0%,>,"$72,000",43.0%,>,"$72,000",43.0%,>,"$72,000",
,44.0%,>,"$74,000",44.0%,>,"$74,000",44.0%,>,"$74,000",44.0%,>,"$74,000",
,45.0%,>,"$76,000",45.0%,>,"$76,000",45.0%,>,"$76,000",45.0%,>,"$76,000",
,46.0%,>,"$78,000",46.0%,>,"$78,000",46.0%,>,"$78,000",46.0%,>,"$78,000",
,47.0%,>,"$80,000",47.0%,>,"$80,000",47.0%,>,"$80,000",47.0%,>,"$80,000",
,48.0%,>,"$82,000",48.0%,>,"$82,000",48.0%,>,"$82,000",48.0%,>,"$82,000",
,49.0%,>,"$84,000",49.0%,>,"$84,000",49.0%,>,"$84,000",49.0%,>,"$84,000",
,50.0%,>,"$86,000",50.0%,>,"$86,000",50.0%,>,"$86,000",50.0%,>,"$86,000",
,51.0%,>,"$88,000",51.0%,>,"$88,000",51.0%,>,"$88,000",51.0%,>,"$88,000",
,52.0%,>,"$90,000",52.0%,>,"$90,000",52.0%,>,"$90,000",52.0%,>,"$90,000",
,53.0%,>,"$92,000",53.0%,>,"$92,000",53.0%,>,"$92,000",53.0%,>,"$92,000",
,54.0%,>,"$94,000",54.0%,>,"$94,000",54.0%,>,"$94,000",54.0%,>,"$94,000",
,55.0%,>,"$96,000",55.0%,>,"$96,000",55.0%,>,"$96,000",55.0%,>,"$96,000",
,56.0%,>,"$98,000",56.0%,>,"$98,000",56.0%,>,"$98,000",56.0%,>,"$98,000",
,60.0%,>,"$100,000",60.0%,>,"$100,000",60.0%,>,"$100,000",60.0%,>,"$100,000",
,64.0%,>,"$150,000",64.0%,>,"$150,000",64.0%,>,"$150,000",64.0%,>,"$150,000",
,68.0%,>,"$200,000",68.0%,>,"$200,000",68.0%,>,"$200,000",68.0%,>,"$200,000",
,71.0%,>,"$300,000",71.0%,>,"$300,000",71.0%,>,"$300,000",71.0%,>,"$300,000",
,72.0%,>,"$500,000",72.0%,>,"$500,000",72.0%,>,"$500,000",72.0%,>,"$500,000",
,73.0%,>,"$1,000,000",73.0%,>,"$1,000,000",73.0%,>,"$1,000,000",73.0%,>,"$1,000,000",
,,,,,,,,,,,,,
1920,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,Last law to change rates was the Revenue Act of 1918.
,8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",
,9.0%,>,"$5,000",9.0%,>,"$5,000",9.0%,>,"$5,000",9.0%,>,"$5,000",
,10.0%,>,"$6,000",10.0%,>,"$6,000",10.0%,>,"$6,000",10.0%,>,"$6,000",
,11.0%,>,"$8,000",11.0%,>,"$8,000",11.0%,>,"$8,000",11.0%,>,"$8,000",
,12.0%,>,"$10,000",12.0%,>,"$10,000",12.0%,>,"$10,000",12.0%,>,"$10,000",
,13.0%,>,"$12,000",13.0%,>,"$12,000",13.0%,>,"$12,000",13.0%,>,"$12,000",
,14.0%,>,"$14,000",14.0%,>,"$14,000",14.0%,>,"$14,000",14.0%,>,"$14,000",
,15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",
,16.0%,>,"$18,000",16.0%,>,"$18,000",16.0%,>,"$18,000",16.0%,>,"$18,000",
,17.0%,>,"$20,000",17.0%,>,"$20,000",17.0%,>,"$20,000",17.0%,>,"$20,000",
,18.0%,>,"$22,000",18.0%,>,"$22,000",18.0%,>,"$22,000",18.0%,>,"$22,000",
,19.0%,>,"$24,000",19.0%,>,"$24,000",19.0%,>,"$24,000",19.0%,>,"$24,000",
,20.0%,>,"$26,000",20.0%,>,"$26,000",20.0%,>,"$26,000",20.0%,>,"$26,000",
,21.0%,>,"$28,000",21.0%,>,"$28,000",21.0%,>,"$28,000",21.0%,>,"$28,000",
,22.0%,>,"$30,000",22.0%,>,"$30,000",22.0%,>,"$30,000",22.0%,>,"$30,000",
,23.0%,>,"$32,000",23.0%,>,"$32,000",23.0%,>,"$32,000",23.0%,>,"$32,000",
,24.0%,>,"$34,000",24.0%,>,"$34,000",24.0%,>,"$34,000",24.0%,>,"$34,000",
,25.0%,>,"$36,000",25.0%,>,"$36,000",25.0%,>,"$36,000",25.0%,>,"$36,000",
,26.0%,>,"$38,000",26.0%,>,"$38,000",26.0%,>,"$38,000",26.0%,>,"$38,000",
,27.0%,>,"$40,000",27.0%,>,"$40,000",27.0%,>,"$40,000",27.0%,>,"$40,000",
,28.0%,>,"$42,000",28.0%,>,"$42,000",28.0%,>,"$42,000",28.0%,>,"$42,000",
,29.0%,>,"$44,000",29.0%,>,"$44,000",29.0%,>,"$44,000",29.0%,>,"$44,000",
,30.0%,>,"$46,000",30.0%,>,"$46,000",30.0%,>,"$46,000",30.0%,>,"$46,000",
,31.0%,>,"$48,000",31.0%,>,"$48,000",31.0%,>,"$48,000",31.0%,>,"$48,000",
,32.0%,>,"$50,000",32.0%,>,"$50,000",32.0%,>,"$50,000",32.0%,>,"$50,000",
,33.0%,>,"$52,000",33.0%,>,"$52,000",33.0%,>,"$52,000",33.0%,>,"$52,000",
,34.0%,>,"$54,000",34.0%,>,"$54,000",34.0%,>,"$54,000",34.0%,>,"$54,000",
,35.0%,>,"$56,000",35.0%,>,"$56,000",35.0%,>,"$56,000",35.0%,>,"$56,000",
,36.0%,>,"$58,000",36.0%,>,"$58,000",36.0%,>,"$58,000",36.0%,>,"$58,000",
,37.0%,>,"$60,000",37.0%,>,"$60,000",37.0%,>,"$60,000",37.0%,>,"$60,000",
,38.0%,>,"$62,000",38.0%,>,"$62,000",38.0%,>,"$62,000",38.0%,>,"$62,000",
,39.0%,>,"$64,000",39.0%,>,"$64,000",39.0%,>,"$64,000",39.0%,>,"$64,000",
,40.0%,>,"$66,000",40.0%,>,"$66,000",40.0%,>,"$66,000",40.0%,>,"$66,000",
,41.0%,>,"$68,000",41.0%,>,"$68,000",41.0%,>,"$68,000",41.0%,>,"$68,000",
,42.0%,>,"$70,000",42.0%,>,"$70,000",42.0%,>,"$70,000",42.0%,>,"$70,000",
,43.0%,>,"$72,000",43.0%,>,"$72,000",43.0%,>,"$72,000",43.0%,>,"$72,000",
,44.0%,>,"$74,000",44.0%,>,"$74,000",44.0%,>,"$74,000",44.0%,>,"$74,000",
,45.0%,>,"$76,000",45.0%,>,"$76,000",45.0%,>,"$76,000",45.0%,>,"$76,000",
,46.0%,>,"$78,000",46.0%,>,"$78,000",46.0%,>,"$78,000",46.0%,>,"$78,000",
,47.0%,>,"$80,000",47.0%,>,"$80,000",47.0%,>,"$80,000",47.0%,>,"$80,000",
,48.0%,>,"$82,000",48.0%,>,"$82,000",48.0%,>,"$82,000",48.0%,>,"$82,000",
,49.0%,>,"$84,000",49.0%,>,"$84,000",49.0%,>,"$84,000",49.0%,>,"$84,000",
,50.0%,>,"$86,000",50.0%,>,"$86,000",50.0%,>,"$86,000",50.0%,>,"$86,000",
,51.0%,>,"$88,000",51.0%,>,"$88,000",51.0%,>,"$88,000",51.0%,>,"$88,000",
,52.0%,>,"$90,000",52.0%,>,"$90,000",52.0%,>,"$90,000",52.0%,>,"$90,000",
,53.0%,>,"$92,000",53.0%,>,"$92,000",53.0%,>,"$92,000",53.0%,>,"$92,000",
,54.0%,>,"$94,000",54.0%,>,"$94,000",54.0%,>,"$94,000",54.0%,>,"$94,000",
,55.0%,>,"$96,000",55.0%,>,"$96,000",55.0%,>,"$96,000",55.0%,>,"$96,000",
,56.0%,>,"$98,000",56.0%,>,"$98,000",56.0%,>,"$98,000",56.0%,>,"$98,000",
,60.0%,>,"$100,000",60.0%,>,"$100,000",60.0%,>,"$100,000",60.0%,>,"$100,000",
,64.0%,>,"$150,000",64.0%,>,"$150,000",64.0%,>,"$150,000",64.0%,>,"$150,000",
,68.0%,>,"$200,000",68.0%,>,"$200,000",68.0%,>,"$200,000",68.0%,>,"$200,000",
,71.0%,>,"$300,000",71.0%,>,"$300,000",71.0%,>,"$300,000",71.0%,>,"$300,000",
,72.0%,>,"$500,000",72.0%,>,"$500,000",72.0%,>,"$500,000",72.0%,>,"$500,000",
,73.0%,>,"$1,000,000",73.0%,>,"$1,000,000",73.0%,>,"$1,000,000",73.0%,>,"$1,000,000",
,,,,,,,,,,,,,
1919,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,Last law to change rates was the Revenue Act of 1918.
,8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",
,9.0%,>,"$5,000",9.0%,>,"$5,000",9.0%,>,"$5,000",9.0%,>,"$5,000",
,10.0%,>,"$6,000",10.0%,>,"$6,000",10.0%,>,"$6,000",10.0%,>,"$6,000",
,11.0%,>,"$8,000",11.0%,>,"$8,000",11.0%,>,"$8,000",11.0%,>,"$8,000",
,12.0%,>,"$10,000",12.0%,>,"$10,000",12.0%,>,"$10,000",12.0%,>,"$10,000",
,13.0%,>,"$12,000",13.0%,>,"$12,000",13.0%,>,"$12,000",13.0%,>,"$12,000",
,14.0%,>,"$14,000",14.0%,>,"$14,000",14.0%,>,"$14,000",14.0%,>,"$14,000",
,15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",
,16.0%,>,"$18,000",16.0%,>,"$18,000",16.0%,>,"$18,000",16.0%,>,"$18,000",
,17.0%,>,"$20,000",17.0%,>,"$20,000",17.0%,>,"$20,000",17.0%,>,"$20,000",
,18.0%,>,"$22,000",18.0%,>,"$22,000",18.0%,>,"$22,000",18.0%,>,"$22,000",
,19.0%,>,"$24,000",19.0%,>,"$24,000",19.0%,>,"$24,000",19.0%,>,"$24,000",
,20.0%,>,"$26,000",20.0%,>,"$26,000",20.0%,>,"$26,000",20.0%,>,"$26,000",
,21.0%,>,"$28,000",21.0%,>,"$28,000",21.0%,>,"$28,000",21.0%,>,"$28,000",
,22.0%,>,"$30,000",22.0%,>,"$30,000",22.0%,>,"$30,000",22.0%,>,"$30,000",
,23.0%,>,"$32,000",23.0%,>,"$32,000",23.0%,>,"$32,000",23.0%,>,"$32,000",
,24.0%,>,"$34,000",24.0%,>,"$34,000",24.0%,>,"$34,000",24.0%,>,"$34,000",
,25.0%,>,"$36,000",25.0%,>,"$36,000",25.0%,>,"$36,000",25.0%,>,"$36,000",
,26.0%,>,"$38,000",26.0%,>,"$38,000",26.0%,>,"$38,000",26.0%,>,"$38,000",
,27.0%,>,"$40,000",27.0%,>,"$40,000",27.0%,>,"$40,000",27.0%,>,"$40,000",
,28.0%,>,"$42,000",28.0%,>,"$42,000",28.0%,>,"$42,000",28.0%,>,"$42,000",
,29.0%,>,"$44,000",29.0%,>,"$44,000",29.0%,>,"$44,000",29.0%,>,"$44,000",
,30.0%,>,"$46,000",30.0%,>,"$46,000",30.0%,>,"$46,000",30.0%,>,"$46,000",
,31.0%,>,"$48,000",31.0%,>,"$48,000",31.0%,>,"$48,000",31.0%,>,"$48,000",
,32.0%,>,"$50,000",32.0%,>,"$50,000",32.0%,>,"$50,000",32.0%,>,"$50,000",
,33.0%,>,"$52,000",33.0%,>,"$52,000",33.0%,>,"$52,000",33.0%,>,"$52,000",
,34.0%,>,"$54,000",34.0%,>,"$54,000",34.0%,>,"$54,000",34.0%,>,"$54,000",
,35.0%,>,"$56,000",35.0%,>,"$56,000",35.0%,>,"$56,000",35.0%,>,"$56,000",
,36.0%,>,"$58,000",36.0%,>,"$58,000",36.0%,>,"$58,000",36.0%,>,"$58,000",
,37.0%,>,"$60,000",37.0%,>,"$60,000",37.0%,>,"$60,000",37.0%,>,"$60,000",
,38.0%,>,"$62,000",38.0%,>,"$62,000",38.0%,>,"$62,000",38.0%,>,"$62,000",
,39.0%,>,"$64,000",39.0%,>,"$64,000",39.0%,>,"$64,000",39.0%,>,"$64,000",
,40.0%,>,"$66,000",40.0%,>,"$66,000",40.0%,>,"$66,000",40.0%,>,"$66,000",
,41.0%,>,"$68,000",41.0%,>,"$68,000",41.0%,>,"$68,000",41.0%,>,"$68,000",
,42.0%,>,"$70,000",42.0%,>,"$70,000",42.0%,>,"$70,000",42.0%,>,"$70,000",
,43.0%,>,"$72,000",43.0%,>,"$72,000",43.0%,>,"$72,000",43.0%,>,"$72,000",
,44.0%,>,"$74,000",44.0%,>,"$74,000",44.0%,>,"$74,000",44.0%,>,"$74,000",
,45.0%,>,"$76,000",45.0%,>,"$76,000",45.0%,>,"$76,000",45.0%,>,"$76,000",
,46.0%,>,"$78,000",46.0%,>,"$78,000",46.0%,>,"$78,000",46.0%,>,"$78,000",
,47.0%,>,"$80,000",47.0%,>,"$80,000",47.0%,>,"$80,000",47.0%,>,"$80,000",
,48.0%,>,"$82,000",48.0%,>,"$82,000",48.0%,>,"$82,000",48.0%,>,"$82,000",
,49.0%,>,"$84,000",49.0%,>,"$84,000",49.0%,>,"$84,000",49.0%,>,"$84,000",
,50.0%,>,"$86,000",50.0%,>,"$86,000",50.0%,>,"$86,000",50.0%,>,"$86,000",
,51.0%,>,"$88,000",51.0%,>,"$88,000",51.0%,>,"$88,000",51.0%,>,"$88,000",
,52.0%,>,"$90,000",52.0%,>,"$90,000",52.0%,>,"$90,000",52.0%,>,"$90,000",
,53.0%,>,"$92,000",53.0%,>,"$92,000",53.0%,>,"$92,000",53.0%,>,"$92,000",
,54.0%,>,"$94,000",54.0%,>,"$94,000",54.0%,>,"$94,000",54.0%,>,"$94,000",
,55.0%,>,"$96,000",55.0%,>,"$96,000",55.0%,>,"$96,000",55.0%,>,"$96,000",
,56.0%,>,"$98,000",56.0%,>,"$98,000",56.0%,>,"$98,000",56.0%,>,"$98,000",
,60.0%,>,"$100,000",60.0%,>,"$100,000",60.0%,>,"$100,000",60.0%,>,"$100,000",
,64.0%,>,"$150,000",64.0%,>,"$150,000",64.0%,>,"$150,000",64.0%,>,"$150,000",
,68.0%,>,"$200,000",68.0%,>,"$200,000",68.0%,>,"$200,000",68.0%,>,"$200,000",
,71.0%,>,"$300,000",71.0%,>,"$300,000",71.0%,>,"$300,000",71.0%,>,"$300,000",
,72.0%,>,"$500,000",72.0%,>,"$500,000",72.0%,>,"$500,000",72.0%,>,"$500,000",
,73.0%,>,"$1,000,000",73.0%,>,"$1,000,000",73.0%,>,"$1,000,000",73.0%,>,"$1,000,000",
,,,,,,,,,,,,,
1918,6.0%,>,$0,6.0%,>,$0,6.0%,>,$0,6.0%,>,$0,"Tax rates include normal taxes of 6 percent (first $4,000 of taxable income) and 12 percent (all taxable income over $4,000) plus applicable surtaxes. Last law to change rates was the Revenue Act of 1918."
,12.0%,>,"$4,000",12.0%,>,"$4,000",12.0%,>,"$4,000",12.0%,>,"$4,000",
,13.0%,>,"$5,000",13.0%,>,"$5,000",13.0%,>,"$5,000",13.0%,>,"$5,000",
,14.0%,>,"$6,000",14.0%,>,"$6,000",14.0%,>,"$6,000",14.0%,>,"$6,000",
,15.0%,>,"$8,000",15.0%,>,"$8,000",15.0%,>,"$8,000",15.0%,>,"$8,000",
,16.0%,>,"$10,000",16.0%,>,"$10,000",16.0%,>,"$10,000",16.0%,>,"$10,000",
,17.0%,>,"$12,000",17.0%,>,"$12,000",17.0%,>,"$12,000",17.0%,>,"$12,000",
,18.0%,>,"$14,000",18.0%,>,"$14,000",18.0%,>,"$14,000",18.0%,>,"$14,000",
,19.0%,>,"$16,000",19.0%,>,"$16,000",19.0%,>,"$16,000",19.0%,>,"$16,000",
,20.0%,>,"$18,000",20.0%,>,"$18,000",20.0%,>,"$18,000",20.0%,>,"$18,000",
,21.0%,>,"$20,000",21.0%,>,"$20,000",21.0%,>,"$20,000",21.0%,>,"$20,000",
,22.0%,>,"$22,000",22.0%,>,"$22,000",22.0%,>,"$22,000",22.0%,>,"$22,000",
,23.0%,>,"$24,000",23.0%,>,"$24,000",23.0%,>,"$24,000",23.0%,>,"$24,000",
,24.0%,>,"$26,000",24.0%,>,"$26,000",24.0%,>,"$26,000",24.0%,>,"$26,000",
,25.0%,>,"$28,000",25.0%,>,"$28,000",25.0%,>,"$28,000",25.0%,>,"$28,000",
,26.0%,>,"$30,000",26.0%,>,"$30,000",26.0%,>,"$30,000",26.0%,>,"$30,000",
,27.0%,>,"$32,000",27.0%,>,"$32,000",27.0%,>,"$32,000",27.0%,>,"$32,000",
,28.0%,>,"$34,000",28.0%,>,"$34,000",28.0%,>,"$34,000",28.0%,>,"$34,000",
,29.0%,>,"$36,000",29.0%,>,"$36,000",29.0%,>,"$36,000",29.0%,>,"$36,000",
,30.0%,>,"$38,000",30.0%,>,"$38,000",30.0%,>,"$38,000",30.0%,>,"$38,000",
,31.0%,>,"$40,000",31.0%,>,"$40,000",31.0%,>,"$40,000",31.0%,>,"$40,000",
,32.0%,>,"$42,000",32.0%,>,"$42,000",32.0%,>,"$42,000",32.0%,>,"$42,000",
,33.0%,>,"$44,000",33.0%,>,"$44,000",33.0%,>,"$44,000",33.0%,>,"$44,000",
,34.0%,>,"$46,000",34.0%,>,"$46,000",34.0%,>,"$46,000",34.0%,>,"$46,000",
,35.0%,>,"$48,000",35.0%,>,"$48,000",35.0%,>,"$48,000",35.0%,>,"$48,000",
,36.0%,>,"$50,000",36.0%,>,"$50,000",36.0%,>,"$50,000",36.0%,>,"$50,000",
,37.0%,>,"$52,000",37.0%,>,"$52,000",37.0%,>,"$52,000",37.0%,>,"$52,000",
,38.0%,>,"$54,000",38.0%,>,"$54,000",38.0%,>,"$54,000",38.0%,>,"$54,000",
,39.0%,>,"$56,000",39.0%,>,"$56,000",39.0%,>,"$56,000",39.0%,>,"$56,000",
,40.0%,>,"$58,000",40.0%,>,"$58,000",40.0%,>,"$58,000",40.0%,>,"$58,000",
,41.0%,>,"$60,000",41.0%,>,"$60,000",41.0%,>,"$60,000",41.0%,>,"$60,000",
,42.0%,>,"$62,000",42.0%,>,"$62,000",42.0%,>,"$62,000",42.0%,>,"$62,000",
,43.0%,>,"$64,000",43.0%,>,"$64,000",43.0%,>,"$64,000",43.0%,>,"$64,000",
,44.0%,>,"$66,000",44.0%,>,"$66,000",44.0%,>,"$66,000",44.0%,>,"$66,000",
,45.0%,>,"$68,000",45.0%,>,"$68,000",45.0%,>,"$68,000",45.0%,>,"$68,000",
,46.0%,>,"$70,000",46.0%,>,"$70,000",46.0%,>,"$70,000",46.0%,>,"$70,000",
,47.0%,>,"$72,000",47.0%,>,"$72,000",47.0%,>,"$72,000",47.0%,>,"$72,000",
,48.0%,>,"$74,000",48.0%,>,"$74,000",48.0%,>,"$74,000",48.0%,>,"$74,000",
,49.0%,>,"$76,000",49.0%,>,"$76,000",49.0%,>,"$76,000",49.0%,>,"$76,000",
,50.0%,>,"$78,000",50.0%,>,"$78,000",50.0%,>,"$78,000",50.0%,>,"$78,000",
,51.0%,>,"$80,000",51.0%,>,"$80,000",51.0%,>,"$80,000",51.0%,>,"$80,000",
,52.0%,>,"$82,000",52.0%,>,"$82,000",52.0%,>,"$82,000",52.0%,>,"$82,000",
,53.0%,>,"$84,000",53.0%,>,"$84,000",53.0%,>,"$84,000",53.0%,>,"$84,000",
,54.0%,>,"$86,000",54.0%,>,"$86,000",54.0%,>,"$86,000",54.0%,>,"$86,000",
,55.0%,>,"$88,000",55.0%,>,"$88,000",55.0%,>,"$88,000",55.0%,>,"$88,000",
,56.0%,>,"$90,000",56.0%,>,"$90,000",56.0%,>,"$90,000",56.0%,>,"$90,000",
,57.0%,>,"$92,000",57.0%,>,"$92,000",57.0%,>,"$92,000",57.0%,>,"$92,000",
,58.0%,>,"$94,000",58.0%,>,"$94,000",58.0%,>,"$94,000",58.0%,>,"$94,000",
,59.0%,>,"$96,000",59.0%,>,"$96,000",59.0%,>,"$96,000",59.0%,>,"$96,000",
,60.0%,>,"$98,000",60.0%,>,"$98,000",60.0%,>,"$98,000",60.0%,>,"$98,000",
,64.0%,>,"$100,000",64.0%,>,"$100,000",64.0%,>,"$100,000",64.0%,>,"$100,000",
,68.0%,>,"$150,000",68.0%,>,"$150,000",68.0%,>,"$150,000",68.0%,>,"$150,000",
,72.0%,>,"$200,000",72.0%,>,"$200,000",72.0%,>,"$200,000",72.0%,>,"$200,000",
,75.0%,>,"$300,000",75.0%,>,"$300,000",75.0%,>,"$300,000",75.0%,>,"$300,000",
,76.0%,>,"$500,000",76.0%,>,"$500,000",76.0%,>,"$500,000",76.0%,>,"$500,000",
,77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",
,,,,,,,,,,,,,
1917,2.0%,>,$0,2.0%,>,$0,2.0%,>,$0,2.0%,>,$0,"Tax rates include normal taxes of 2 percent (first $2,000 of taxable income) and 4 percent (all taxable income over $2,000) plus applicable surtaxes. Last law to change rates was the Revenue Act of 1917."
,4.0%,>,"$2,000",4.0%,>,"$2,000",4.0%,>,"$2,000",4.0%,>,"$2,000",
,5.0%,>,"$5,000",5.0%,>,"$5,000",5.0%,>,"$5,000",5.0%,>,"$5,000",
,6.0%,>,"$7,500",6.0%,>,"$7,500",6.0%,>,"$7,500",6.0%,>,"$7,500",
,7.0%,>,"$10,000",7.0%,>,"$10,000",7.0%,>,"$10,000",7.0%,>,"$10,000",
,8.0%,>,"$12,500",8.0%,>,"$12,500",8.0%,>,"$12,500",8.0%,>,"$12,500",
,9.0%,>,"$15,000",9.0%,>,"$15,000",9.0%,>,"$15,000",9.0%,>,"$15,000",
,12.0%,>,"$20,000",12.0%,>,"$20,000",12.0%,>,"$20,000",12.0%,>,"$20,000",
,16.0%,>,"$40,000",16.0%,>,"$40,000",16.0%,>,"$40,000",16.0%,>,"$40,000",
,21.0%,>,"$60,000",21.0%,>,"$60,000",21.0%,>,"$60,000",21.0%,>,"$60,000",
,26.0%,>,"$80,000",26.0%,>,"$80,000",26.0%,>,"$80,000",26.0%,>,"$80,000",
,31.0%,>,"$100,000",31.0%,>,"$100,000",31.0%,>,"$100,000",31.0%,>,"$100,000",
,35.0%,>,"$150,000",35.0%,>,"$150,000",35.0%,>,"$150,000",35.0%,>,"$150,000",
